_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
11,,4 Miglia - Braceria - Ristorante,4 Miglia di Cristiano Tateo,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072039,Sammichele di Bari,Largo Giuseppe Di Vagno,,cristiano.tateo@gmail.com,3926503088,,,,,,,,,,,,,,,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
12,,72024,72024 centro di smistamento culturale,"Arte, cultura e creatività | Enogastronomia | Sport, natura e benessere","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa | Natura | Valorizzazione e promozione dell'enogastronomia pugliese","Attività di supporto alle rappresentazioni artistiche | Attività ricreative, di intrattenimento e di divertimento | Rappresentazioni artistiche | Servizi a fini ricreativi legati ad avventura e natura | Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia",n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074011,Oria,Via Fratelli Bandiera,109,72024csc@gmail.com,33368288875,,associazione72024@pec.it,,inglese|italiano,72024 Centro di Smistamento Culturale,"72024 è un' Associazione che si occupa di promuovere e tutelare i beni materiali ed immateriali del territorio di Oria, mediante:
- la creazione e la fruizione di itinerari naturali e nel centro storico, con ausilio di guide certificate; 
- la collaborazione con enti, associazioni e aziende del territorio;
- l'organizzazione di eventi musicali e artistici in generale;
- il supporto per aziende alimentari e centri ricettivi;
- azioni di volontariato, nel sociale e per l'ambiente;
- l'organizzazione di rassegne enogastronomiche, convegni e viaggi presso centri turistici vicini.
72024 gestisce inoltre l'Info Point del G.A.L. Terre del Primitivo, situato presso lo storico Palazzo del Sedile, in Piazza Manfredi a Oria.",,,,,,,,,2023-05-10 16:44:03+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
13,,9 TOUR,9 TOUR,Intermediazione e organizzazione,Agenzie di viaggi on line e tradizionali | Tour operator,Servizi Agenzie di viaggi on line e tradizionali | Servizi di Tour Operator,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,Via Leuca,143,direzione@9tour.it,0832230111,,,,,,,,,,,,,40.341965,18.17597,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14,,A 31-20 Futuro anteriore,APS,"Arte, cultura e creatività | Enogastronomia | Sport, natura e benessere","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa | Natura | Valorizzazione e promozione dell'enogastronomia pugliese","Attività di supporto alle rappresentazioni artistiche | Attività ricreative, di intrattenimento e di divertimento | Rappresentazioni artistiche | Servizi a fini ricreativi legati ad avventura e natura | Servizi di gestione, valorizzazione e innovazione dei beni culturali materiali e immateriali | Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia",n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110003,Bisceglie,Via S. Logoluso,8,margherita.graziani@libero.it,3483488814,,graziani.m@arubapec.it,,,,,,,,,,,,,2023-05-10 16:44:01+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15,,A.A.Jonico Salentina,Associazione di promozione sociale,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento | Cinema e musica | Gestione e servizi di valorizzazione culturale e creativa","Attività di registrazione sonora e di editoria musicale | Attività ricreative, di intrattenimento e di divertimento | Rappresentazioni artistiche",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075085,Taviano,Via Regina Margherita,249,maurizio.borrega@tiscali.it,3292125947,,maurizio.borrega@pec.it,,,,,,,,,,,,,2023-05-10 16:43:57+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,A. & B. AUTOLINEE GRANTURISMO S.R.L.,A. & B. AUTOLINEE GRANTURISMO S.R.L.,Servizi utili di fruizione,Trasporto e noleggio mezzi,Taxi e noleggio di autovetture con conducente,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,CORSO CAVOUR,25,abautolinee@hotmail.com,3387166062,,abautolinee@pec.it,,,,,,,,,,,,,2023-05-10 16:44:07+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
17,,Abbazia di San Lorenzo,Colella Ricevimenti Srl,Mice e Wedding,Mice | Wedding,"Organizzatori professionali di congressi, eventi e fiere | Wedding e event planner",n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074007,Fasano,Contrada Sant'Angelo,,info@abbaziadisanlorenzo.it,0804425814,,,,"Inglese, Francese, Tedesco",ABBAZIA DI SAN LORENZO,,,,,,,,40.82506,17.390549,2019-07-01 11:46:47+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
18,,A&B Comunicazioni srl,A&B Comunicazioni srl,Mice e Wedding,Mice,"Organizzatori professionali di congressi, eventi e fiere",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073027,Taranto,Via Berardi,15,congressi@aeb-comunicazione.com,3357049348,,,,,,,,,,,,,40.468815,17.242443,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19,,Abusuan,associazione  Abusuan,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento",Attività di supporto alle rappresentazioni artistiche | Creazioni artistiche e letterarie | Rappresentazioni artistiche,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,vitantonio di cagno,1/bis,amministrazione@abusuan.it,3287628242,,abusuan@cm3pec.it,,,,,,,,,,,,,2023-05-10 16:43:57+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
20,,Acasa,Associazione Culturale,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento",Attività di supporto alle rappresentazioni artistiche | Creazioni artistiche e letterarie | Rappresentazioni artistiche,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,Arcidiacono Giovanni,25,acasa.associazione@gmail.com,3202844063,,acasa2017@pec.it,,francese|inglese|italiano,Acasa,Associazione culturale che si occupa di produrre spettacoli dal vivo e di promuovere la nuova drammaturgia,,,,,,,,,2023-05-10 16:43:58+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
21,,A CASA TU MARTINU,,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075085,Taviano,via Corsica,95,info@acasatumartinu.com,Tel. +39.0833.913652,,,,,,,,,,,,,39.98379,18.086693,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
22,,ACCADEMIA CITTADELLA NICOLAIANA,ASSOCIAZIONE ACCADEMIA CITTADELLA NICOLAIANA,"Arte, cultura e creatività | Enogastronomia | Mice e Wedding",Gestione e servizi di valorizzazione culturale e creativa | Mice | Valorizzazione e promozione dell'enogastronomia pugliese,"Organizzatori professionali di congressi, eventi e fiere | Servizi di gestione, valorizzazione e innovazione dei beni culturali materiali e immateriali | Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,LARGO PAPA URBANO II c/o MUSEO SAN NICOLA,,presidente@accademiacittadellanicolaiana.it,3451078222,,,,,,,,,,,,,,,2019-07-01 11:46:47+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,ACCADEMIA DEI CAMERISTI,associazione musicale,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento",Rappresentazioni artistiche,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072006,Bari,via Putignani,178,info@accademiadeicameristi.com,3387116300,,accademiadeicameristi@pec.it,,,,,,,,,,,,,2023-05-10 16:44:00+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
24,,ACCADEMIA DEI VOLENTEROSI,ACCADEMIA DEI VOLENTEROSI,Enogastronomia,Valorizzazione e promozione dell'enogastronomia pugliese,Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075035,Lecce,VIA G PALADINI,40,GIUSIPORTALURI@YAHOO.IT,3271867887,,accademiavolenterosi@pec.it,,,,,,,,,,,,,2023-05-10 16:44:04+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
25,,ACCADEMIA MEDITERRANEA DELL'ATTORE,ASSOCIAZIONE CULTURALE,"Arte, cultura e creatività | Enogastronomia",Gestione e servizi di valorizzazione culturale e creativa | Valorizzazione e promozione dell'enogastronomia pugliese,"Attività ricreative, di intrattenimento e di divertimento | Gestione di strutture artistiche | Servizi di gestione, valorizzazione e innovazione dei beni culturali materiali e immateriali | Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075011,Campi Salentina,VIA CAVOUR,7,info@accademiaama.it,3383746581,,accademiaama@pec.it,,,,,,,,,,,,,2023-05-10 16:44:04+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
26,,ACCADEMIA MEDITERRANEA DELL'ATTORE,Associazione culturale Accademia Mediterranea Dell'attore,"Arte, cultura e creatività | Enogastronomia","Attività creative, artistiche e di intrattenimento | Gestione e servizi di valorizzazione culturale e creativa | Valorizzazione e promozione dell'enogastronomia pugliese","Attività di supporto alle rappresentazioni artistiche | Creazioni artistiche e letterarie | Gestione di strutture artistiche | Rappresentazioni artistiche | Servizi di gestione, valorizzazione e innovazione dei beni culturali materiali e immateriali | Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075011,Campi Salentina,VIA CAVOUR,7,info@accademiaama.it,3383746581,,accademiaama@pec.it,,,,,,,,,,,,,2023-05-10 16:44:04+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Accademia musicale Armonia delle Sfere,Associazione,"Arte, cultura e creatività","Attività creative, artistiche e di intrattenimento",Rappresentazioni artistiche,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073012,Manduria,Via Dell'Osservatorio,Snc,antonella.mrg@hotmail.it,3296005498,,accademiaarmoniadellesfere@pec.it,,,,,,,,,,,,,2023-05-10 16:44:02+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
28,,Accademia Musicale Arthemis,Associazione,"Arte, cultura e creatività",Cinema e musica | Gestione e servizi di valorizzazione culturale e creativa,"Attività di produzione, post-produzione e distribuzione cinematografica, di video e di programmi televisivi, registrazioni musicali e sonore | Attività di registrazione sonora e di editoria musicale | Attività ricreative, di intrattenimento e di divertimento | Gestione di strutture artistiche | Servizi di gestione, valorizzazione e innovazione dei beni culturali materiali e immateriali",n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073025,San Marzano di San Giuseppe,Via Regina Margherita,23,accademiamusicalearthemis@gmail.com,3281452409,,accademiamusicalearthemis@pec.it,,,,,,,,,,,,,2023-05-10 16:43:56+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
29,,Accademia Obiettivo Successo,Associazione,"Formazione culturale (danza, recitazione, ...)","Formazione culturale (danza, recitazione, ...)","Formazione culturale (danza, recitazione, ...)",n.d.,072,BA,Bari,ITF,ITF4,ITF47,072004,Altamura,RODI,57A,ACCADEMIAOBIETTIVOSUCCESSO@GMAIL.COM,3279979265,ALTAMURA,ACCADEMIAOBIETTIVOSUCCESSO@PEC.IT,,,,,,,,,,,,,2023-07-18 12:38:11+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
30,,Accompagnatore turistico,Federico Petteruti,Servizi utili di fruizione,Guide e accompagnatori turistici,Accompagnatori turistici,n.d.,0,Non Disponibile,Non Disponibile,,,,00N.D.,Non Disponibile,monte Cervino,27,bellearti@mail.ru,3336323475,GUIDONIA MONTECELIO,federicopetteruti@pec.it,,,,,,,,,,,,,2022-01-20 10:01:49+01,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
31,,ACCOMPAGNATRICE TURISTICA,ANNAMARIA DE BELLIS,Servizi utili di fruizione,Guide e accompagnatori turistici,Accompagnatori turistici | Guide turistiche,n.d.,073,TA,Taranto,ITF,ITF4,ITF43,073003,Castellaneta,valentino,,isanna.db@gmail.com,3383496052,,,,,,,,,,,,,,,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
32,,acino di vino sas di Lia Lucio & C.,società in accomandita semplice,Enogastronomia,Ristorazione,"Servizi di ristorazione (ristoranti, catering, ...)",n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075056,Ortelle,via vecchia per ortelle,sn,aiadisangiorgio@gmail.com,0836920451,,acinodivino@arubapec.it,,,,,,,,,,,,,2023-05-10 16:43:55+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
33,,"¿ A Crianz, A' Cr' janz",,Enogastronomia,Valorizzazione e promozione dell'enogastronomia pugliese,Servizi per la valorizzazione delle eccellenze enogastronomiche della Puglia,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072036,Putignano,,,info@acrianzputignano.it,0804055745,,,,,,,,,,,,,40.85183,17.121294,2019-07-01 11:48:06+02,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
