_id,codice_cis,denominazione,ragione_sociale,comparto,tipologia,sottotipologia,classicazione,cod_istat_provincia_sede_operativa,sigla_provincia_sede_operativa,provincia_sede_operativa,codice_nuts_1_sede_operativa,codice_nuts_2_sede_operativa,codice_nuts_3_sede_operativa,codice_istat_comune_sede_operativa,comune_sede_operativa,via_sede_operativa,civico_sede_operativa,mail_sede_operativa,telefono_sede_operativa,localita_sede_operativa,pec_sede_operativa,sito_web,lingue_parlate,brand_comunicazione,breve_descrizione,foto,foto1,foto2,foto3,foto4,foto5,latitudine,longitudine,data_ultima_modifica,tel_fisso,logo,codice_ateco,modalita_prenotazione,cancellazione_pagamento,carte_credito_accreditate,accessibilita_spazi_interni,accessibilita_spazi_esterni,servizi_animali,servizi_generali,tipo_cucina,fascia_prezzo_pasto_medio,riconoscimenti,ricetta_tipica,descrizione_servizi,territorio,prodotto_specializzazione,tema_specializzazione,tipo_rappresentazione,produzione_tipica_zona,prodotti_tipici,tipo_attrezzatura_ricreativa,periodi,id_sede,provincia,comune,localita,servizi_camera,parcheggio,internet,check_in,check_out,prima_colazione,tipo_colazione,resort,centro_congressi,numero_sale,accessibilita_sale_disabili,capienza_sala_principale,lunghezza_sala_principale,superficie_sala_principale,potenza_elettrica_max_sala_principale,caratteristiche_sala_principale,capienza_sala_piccola,superficie_totale_sale,area_foyer,numero_zone_foyer,zone_banchetti,totale_superificie_area_congressi,area_espositiva_interna,area_espositiva_esterna,superficie_area_esposativa_interna,superficie_area_espositiva_esterna,servizi_per_eventi,country_house,masseria_didattica,certificazione_qualita_ambientale,scelta_parcotema_percorso_cammino,scelta_cantina_frantoio_forno_pastificio_caseificio,scelta_maneggio_campogolf_stadio_diving,servizio_biglietteria,scelta_teatri_saleconcerto,scelta_infopoint_proloco,scelta_cinema_studicinema_mediatiche,scelta_biblio_archivi_musei_galleriearte,scelta_parcodivertimento_parcotematico,numero_zone_banchetti,servizi_specifici_persone_disabili,scelta_porto_approdo_puntoormeggio
11,,Aligros s.p.a. - Lido Azzurro Pagoda,Aligros s.p.a.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075093,Vernole,via litoranea SAN CATALDO OTRANTO,s.n.c.,dmontinari@aligros.it,08321942923,,aligroslecce@pec.it,,Inglese,,stabilimento balneare,,,,,,,40.351162,18.334257,2023-09-22 00:00:00+02,08321942923,,,,,,,,,Ristorante | Bar,Internazionale,,,,,Salento,,,,,,,,16,Lecce,LECCE,LITORANEA SAN CATALDO - OTRANTO,,Privato scoperto gratuito,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
12,,Aligros S.p.a. - Stella del Sud,ALIGROS SPA,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075093,Vernole,via litoranea SAN CATALDO OTRANTO,s.n.c.,dmontinari@aligros.it,08321945069,,aligroslecce@pec.it,,Inglese,STELLA DEL SUD/LIDO CAMPOVERDE,STABILIMENTO BALNEARE,,,,,,,40.36372,18.317778,2019-07-01 00:00:00+02,08321945069,,,,,,,,,Bar | Ristorante | Reception 24h,Internazionale,,,,,Salento,,,,,,,,16,Lecce,LECCE,LITORANEA SAN CATALDO - OTRANTO,,Privato scoperto gratuito,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
13,,Al Secondo Molo srls,Al Secondo Molo srls,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071025,Ischitella,venezia,snc,luciamastromatteo06@gmail.com,3392523821,Ischitella,alsecondomolo@arubapec.it,,Italiano,Al Secondo Molo srls,"Lido balneare in prossimità del molo di ponente a Foce Varano, marina di Ischitella (FG), dispone di un'ampia spiaggia dorata e offre comfort e servizi (bar, noleggio di ombrelloni, sdraio e lettini, docce calde e fredde, accesso e servizi per persone con disabilità) tra dune e mare azzurro, con albe e tramonti mozzafiato.",https://dms.ect.regione.puglia.it/image/65260/foto1-65260.jpeg,https://dms.ect.regione.puglia.it/image/65260/foto2-65260.jpeg,https://dms.ect.regione.puglia.it/image/65260/foto3-65260.jpeg,https://dms.ect.regione.puglia.it/image/65260/foto4-65260.jpeg,https://dms.ect.regione.puglia.it/image/65260/foto5-65260.jpeg,,,,2023-10-19 00:00:00+02,3392523821,,93.29.20,,,,,,,,Altro,,,,,Gargano e Daunia,,,,,,,,16,,,,,Nessuno,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
14,,Apeneste s.a.s.,Apeneste s.a.s. di Palazzo Angelo & C.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,072,BA,Bari,ITF,ITF4,ITF47,072035,Polignano a Mare,C.da San Giovanni,214,palazzomarilu@gmail.com,,,,,,Cala San Giovanni,Stabilimento balneare con arenile e scogliera.,,,,,,,41.01605,17.187874,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Bari e la costa,,,,,,,,16,,,"Contrada San Giovanni, Polignano a Mare (BA)",,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
15,,APULIA GEST SRL,APULIA GEST SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,074,BR,Brindisi,ITF,ITF4,ITF44,074012,Ostuni,C.DA VALLEGNA KM 5,SS CISTERNINO,AMMINISTRAZIONE@APULIAHOTEL.IT,0831301238,,APULIAGEST@PEC.IT,,,,,,,,,,,,,2023-05-10 00:00:00+02,0831301238,,,,,,,,,,,,,,,Valle d'Itria e Murgia dei Trulli,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16,,Arianna Club Lido,Arianna Club s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071043,Rodi Garganico,Via delle More,,info@ariannaclub.com,0884917155,,,www.ariannaclub.com,,Arianna Club Lido,Lido Balneare attrezzato ideale per le famiglie con bambini.,,,,,,,40.773262,17.327328,2022-10-18 00:00:00+02,0884917155,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,Lido del Sole,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
17,,Azzurro Calenella,s.a.s. di Ronzullo Michele & C.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071059,Vico del Gargano,Lungomare Calanella,0,info@azzurrocalenella.com,3454777960,,azzurrocalenella@pec.it,www.azzurrocalenella.com,Tedesco | Inglese | Italiano,Lido Azzurro,"Stabilimento balneare situato sulle coste garganiche nella natura e tranquillità, dotato di ristorante, bar, fitta ombrelloni, parcheggio custodito, servizi igienici, area camper attrezzata.",,,,,,,41.942337,15.983996,2023-09-05 00:00:00+02,3454777960,,,presso lo stabilimento balneare,,temporaneamente no,Porte e finestre facilmente utilizzabili | Servizi igienici | Pendenza rampa | Cucine | Pavimenti non sdrucciolevoli,Parcheggi | Segnaletica,,Ristorante | Bar,Tipica,,,,,Gargano e Daunia,,,,,,,,16,Foggia,,Calenella,,Privato scoperto gratuito,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
18,,Bacino Grande,Bacino Grande s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075097,Porto Cesareo,Via Torre Lapillo,35,info@bacinogrande.it,0833565113,,bacinogrande@pec.it,www.bacinogrande.it,Inglese | Tedesco | Italiano,BACINO GRANDE,"ALBERGO, BAR, RISTORANTE, STABILIMENTO BALNEARE, PARCHEGGIO",,,,,,,40.283268,17.86608,2022-09-30 00:00:00+02,0833565113,,,Diretta,,Visa - American express - Diners -,,,,Bar | Ristorante,Tipica | Vegetariana | Per celiaci | Per altre esigenze specifiche,,,,,Salento,,,,,,,,16,Lecce,PORTO CESAREO,BACINO GRANDE,,Privato coperto a pagamento,Connessione WiFi gratuita,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
19,,Bagni Bono Bo,Biessemme srl,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071029,Manfredonia,Via Coppasanta,10,studiozammarano@gmail.com,,,,,,,,,,,,,,41.629642,15.911805,2019-07-01 00:00:00+02,,,,,,,,,,,,,,,,Gargano e Daunia,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,,
20,,Bagni Peppino,,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110002,Barletta,Lungomare Pietro Paolo Mennea,,giobo67@libero.it,,,,,,bagni peppino,"stabilimento balnerare, bar, area giochi  attività ludiche e ricreative",,,,,,,,,2019-07-01 00:00:00+02,,,,,,,Servizi igienici,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,barletta,,Privato scoperto gratuito | Privato scoperto a pagamento,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
21,,BAGNI TETI,BAGNI TETI SRL,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110002,Barletta,Via R. Elena,33,bagniteti@gmail.com,3939254443,,,www.bagniteti.it,,bagni teti,stabilimento balneare con annesso ristorante e pizzeria,,,,,,,41.319904,16.29919,2023-04-12 00:00:00+02,3939254443,,,,,,,,,,Altro,,,,,Puglia Imperiale,,,,,,,,16,,,barletta,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
22,,BAGNI TRAIANO,2001 TIZIANA DI DITRANI GRAZIA E C. SAS,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,VIA TRAIANO,SN,graziaditrani@gmail.com,3423504862,,damatospiridione@pec.it,www.bagniditraiano.it,Inglese | Italiano,BAGNI TRAIANO," Lo Stabilimento balneare Bagni di Traiano offre ai propri clienti un'atmosfera cordiale ed un servizio attento ad ogni dettaglio, caratterizzato dalla cortesia del personale altamente qualificato e disponibile.  Lo Stabilimento balneare si trova nella parte nord di Margherita di Savoia, in posizione tranquilla e rilassante. I clienti dello stabilimento possono usufruire di ampi spazi di parcheggio a pagamento non custodito.  Lo Stabilimento balneare offre tranquillità lontano dal caos cittadino ed è dotato di tutti i comfort: ristorante, tavola calda, bar, servizio di animazione, baby parking, campo da beach volley. Inoltre, dispone di docce calde e servizi igienici.  Il servizio di assistenza bagnanti  è effettuato da bagnini qualificati, unità di primo soccorso e tutto quanto necessario per trascorrere piacevoli giornate in completo relax.  Il bar della spiaggia offre un'ampia scelta di aperitivi, drink, cocktail, frullati e bevande di ogni tipo oltre che spuntini e piatti freddi da gustare in riva al mare.",,,,,,,,,2023-05-10 00:00:00+02,3423504862,,,ONLINE O TELEFONICA,,TUTTE,Balconi e terrazze | Pavimenti non sdrucciolevoli | Percorsi orizzontali con andamento quanto piu' possibile continuo | Porte e finestre facilmente utilizzabili | Porte di accesso facilmente manovrabili | Pendenza rampa | Scale con un adeguamento regolare ed omogeneo per tutto il loro sviluppo | Servizi igienici | Terminali degli impianti facilmente utilizzabili e individuabili,Parcheggi | Pavimentazione | Segnaletica | Percorsi,,Bar | Reception 24h | Deposito bagagli | Ristorante,Per celiaci | Vegetariana,,,,,Puglia Imperiale,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
23,,Bagno 27ventisette,AL.VE. srl,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110002,Barletta,viale c. giannone,"24,26,28",info@bagno27.com,3481533603,,,www.bagno27.com,,BAGNO 27ventisette,"Stabilimento Balneare con annesso Caffetteria, Ristorante, American Bar, Ideale per piccoli e grandi Eventi",,,,,,,,,2022-10-18 00:00:00+02,3481533603,,,,,,Porte di accesso facilmente manovrabili | Pavimenti non sdrucciolevoli | Servizi igienici | Percorsi orizzontali con andamento quanto piu' possibile continuo,Percorsi,,,,,,,,Puglia Imperiale,,,,,,,,16,,,Barletta,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
24,,Bagno Centrale,Bagno Centrale di Rossi Gabriele & C. S.a.s.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071027,Lesina,Via II traversa al mare - Marina di Lesina,,c5c5@libero.it,3938091277,,,,,Bagno Centrale,Stabilimento balneare,,,,,,,41.912983,15.334155,2023-09-28 00:00:00+02,3938091277,,,,,,Servizi igienici,Segnaletica,Spazio apposito per animali,,,,,,,Gargano e Daunia,,,,,,,,16,,,Marina di Lesina,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,passerelle,
25,,Bagno Ciccio,Dijafra Hotel & Resort s.r.l.,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110002,Barletta,Via Regina Elena,,info@hotel-laterrazza.com,0883532046,,,www.hotel-laterrazza.com,,BAGNO CICCIO,STABILIMENTO BALNEARE,,,,,,,41.319786,16.290047,2022-10-17 00:00:00+02,0883532046,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,BARLETTA,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,sedieJob,
26,,BAGNO EDEN KISS,PANUNZIO LUCIA,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,071,FG,Foggia,ITF,ITF4,ITF46,071027,Lesina,LOCALITA' ACQUAROTTA,SNC,VINCENZOSCREAM@HOTMAIL.IT,3482231243,MARINA DI LESINA,PANUNZIOLUCIA@PEC.IT,,,,,,,,,,,,,2021-10-05 00:00:00+02,3482231243,,93.29.20,,,,,,,Bar | Ristorante | Punto ristoro,Internazionale | Tipica | Per altre esigenze specifiche,,,,,Gargano e Daunia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
27,,Bagno Lucia,Bagno Lucia s.a.s. di Quarta Lucia e F.lli,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,Provinciale Otranto - San Cataldo,,026@libero.it,0836805203,,,www.bagnolucia1954.com,,Bagno Lucia 1954,"Stabilimento balneare, ristorante, bar",,,,,,,40.20384,18.45838,2019-07-01 00:00:00+02,0836805203,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,Laghi Alimini,,Custodito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,carrozzine,
28,,BAGNO LUCIA DI QUARTA LUCIA & F.LLI SAS,SAS,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,075,LE,Lecce,ITF,ITF4,ITF45,075057,Otranto,LAGHI ALIMINI,,FRANCESCAQUARTA@LIVE.IT,3921417555,,,kumbeachclub.it,,Bagno Lucia,stabilimento balneare,,,,,,,40.205524,18.45701,2019-07-01 00:00:00+02,3921417555,,,,,,,,,,,,,,,Salento,,,,,,,,16,,,Laghi Alimini,,Privato scoperto gratuito,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
29,,Bagno Maria  Beach,D.Z. Di Dascoli Maria Rosaria & C. Sas,Mare,Stabilimenti balneari,Servizi per la gestione di stabilimenti balneari,n.d.,110,BT,Barletta-Andria-Trani,ITF,ITF4,ITF48,110005,Margherita di Savoia,Lungomare Cristoforo Colombo,,ass.asba@gmail.com,,,,,,,struttura balneare per famiglie e giovani,,,,,,,41.38021,16.14408,2022-10-27 00:00:00+02,,,,,,,,,,,,,,,,Puglia Imperiale,,,,,,,,16,,,,,,,,,,,no,no,,no,,,,,,,,no,,no,,no,no,,,,no,no,no,,,,no,,,,,,,parcheggi,
